id,fatherId,arabicName,englishName,info
1,14,محمد بن مسعود بن علي بن سعد الملقب بأبي رجاء بن عبد الله,Muhammad bin Mas'ud bin Ali bin Sa'd al-Mulaqqab bi Abi Rajaa' bin Abdullah,
14,15,علي بن يحيى بن الامين بن مسلم بن شهاب بن لؤي بن العلاء بن مكتل,Ali bin Yahya bin Al-Amin bin Muslim bin Shihab bin Lu'ay bin Al-Alaa bin Maktal,ملاحظه : آمنه أم الرسول هي أخت مكتل بن وهب - زهره وقصي هما أخوان
15,16,وهب,Wahab,
16,17,عبد مناف بن زهره,Abd Manaf bin Zuhrah,
17,18,كلاب,Kilab,
18,,مره بن كعب بن لؤي بن غالب بن فهر بن مالك بن النضر بن كنانه بن خزيمه بن مدركه بن إلياس بن مضر بن نزار بن معد بن عدنان,Murrah bin Ka'b bin Lu'ay bin Ghalib bin Fihr bin Malik bin An-Nadr bin Kinanah bin Khuzaymah bin Mudrikah bin Ilyas bin Mudar bin Nizar bin Ma'ad bin Adnan,
19,17,قصي,Qusai,
20,19,عبد مناف,Abd Manaf,
21,20,هاشم,Hashim,
22,21,عبدالمطلب,Abdul Muttalib,
23,22,عبدالله,Abdullah,
24,23,محمد,Muhammad,نسب الرسول الاعظم والنبي الاكرم
